Izba Skarbowa we Wrocławiu,50-983,Wrocław,Bernarda Pretficza 11,(71) 360-63-00,(71) 361-40-37,is@ds.mofnet.gov.pl,0201
Dolnośląski Urząd Skarbowy we Wrocławiu,51-130,Wrocław,Żmigrodzka 141,(71) 32-36- 800,(71) 32 36 805,us0271@ds.mofnet.gov.pl,0271
Urząd Skarbowy w Bolesławcu,59-700,Bolesławiec,Garncarska 10,(75) 646-52-00,(75) 646-52-01,us0202@ds.mofnet.gov.pl,0202
Urząd Skarbowy w Bystrzycy Kłodzkiej,57-500,Bystrzyca Kłodzka,Adama Mickiewicza 5,(74) 811-79-50,(74) 811-11-27,us0203@ds.mofnet.gov.pl,0203
Urząd Skarbowy w  Dzierżoniowie,58-200,Dzierżoniów,Pocztowa 14,(74) 831-63-16,(74) 831-49-19,us0204@ds.mofnet.gov.pl,0204
Urząd Skarbowy w Głogowie,67-200,Głogów,Adama Mickiewicza 53,(76) 727-24-00,(76) 727-24-01,us0205@ds.mofnet.gov.pl,0205
Urząd skarbowy w Górze,56-200,Góra,Poznańska 4,(65) 544-18-71,(65) 544-18-76,us0233@ds.mofnet.gov.pl,0233
Urząd Skarbowy w Jaworze,59-400,Jawor,Jurija Gagarina 5,(76) 871-72-00,(76) 870-62-24,us0206@ds.mofnet.gov.pl,0206
Urząd Skarbowy w  Jeleniej Górze,58-500,Jelenia Góra,Wolności 121,(75) 647-35-00,(75) 647-35-37,us0207@ds.mofnet.gov.pl,0207
Urząd Skarbowy w Kamiennej Górze,58-400,Kamienna Góra,Papieża Jana Pawła II 18,(75) 744-93-60,(75) 744-93-92,us0208@ds.mofnet.gov.pl,0208
Urząd Skarbowy w  Kłodzku,57-300,Kłodzko,Walasiewiczówny 1,(74) 647-43-00,(74) 647-43-70,us0209@ds.mofnet.gov.pl,0209
Urząd Skarbowy w Legnicy,59-220,Legnica,Najświętszej Marii Panny 3,(76) 851-15-11,(76) 851-15-01,us0210@ds.mofnet.gov.pl,0210
Urząd Skarbowy w Lubaniu,59-800,Lubań,Stara 1,(75) 722-91-00,(75) 722-91-01,us0211@ds.mofnet.gov.pl,0211
Urząd Skarbowy w Lubinie ,59-300,Lubin,Marii Skłodowskiej Curie 94,(76) 746-11-00,(76) 847-84-70,us0212@ds.mofnet.gov.pl,0212
Urząd Skarbowy w Lwówku Śląskim,59-600,Lwówek Śląski,Budowlanych 1,(75) 782-03-00,(75) 782-02-99,us0213@ds.mofnet.gov.pl,0213
Urząd Skarbowy w Miliczu,56-300,Milicz,Składowa 2,(71) 380-51-00,(71) 380-51-10,us0214@ds.mofnet.gov.pl,0214
Urząd Skarbowy w  Nowej Rudzie,57-400,Nowa Ruda,Kolejowa 23,(74) 872-02-00,(74) 872-25-06,us0215@ds.mofnet.gov.pl,0215
Urząd Skarbowy w Oleśnicy,56-400,Oleśnica,Lwowska 34-38,(71) 314-90-05,(71) 314-97-73,us0216@ds.mofnet.gov.pl,0216
Urząd Skarbowy w Oławie ,55-200,Oława,Lwowska 1,(71) 303-94 -39,(71) 313-47-90,us0217@ds.mofnet.gov.pl,0217
Urząd Skarbowy w Polkowicach,59-100,Polkowice,Zachodnia 10,(76) 746-13-01,(76) 746-13-05,us0234@ds.mofnet.gov.pl,0234
Urząd Skarbowy w Strzelinie,57-100,Strzelin,Bolka I Świdnickiego 14,(71) 392-72-86,(71) 392-72-88,us0218@ds.mofnet.gov.pl,0218
Urząd Skarbowy w Środzie Śląskiej,55-300,Środa Śląska,Oławska 5A ,(71) 317-25-45,(71) 317-39-80,us0219@ds.mofnet.gov.pl,0219
Urząd Skarbowy w Świdnicy,58-100,Świdnica,Marii Skłodowskiej Curie 1-3,(74) 856-14-00,(74) 856-14-90,us0220@ds.mofnet.gov.pl,0220
Urząd Skarbowy w Trzebnicy,55-100,Trzebnica,Prusicka 2,(71) 388-72-00,(71) 387-10-35,us0221@ds.mofnet.gov.pl,0221
Urząd Skarbowy w  Wałbrzychu,58-306,Wałbrzych,Uczniowska 21,(74) 664-33-00,(74) 841-13-01,us0222@ds.mofnet.gov.pl,0222
Urząd Skarbowy w Wołowie,56-100,Wołów,Tadeusza Kościuszki 17,(71) 389-24-40,(71) 389-19-41,us0223@ds.mofnet.gov.pl,0223
Urząd Skarbowy Wrocław - Fabryczna,53-238,Wrocław ,Ostrowskiego 5,(71) 797-73-00,(71) 797-56-03,us0224@ds.mofnet.gov.pl,0224
Urząd Skarbowy Wrocław - Krzyki,53-310,Wrocław,Sztabowa 100,(71) 79 85 201,(71) 373-22-17,us0225@ds.mofnet.gov.pl,0225
Urząd Skarbowy Wrocław - Psie Pole,50-231,Wrocław,Trzebnicka 33,(71) 326-52-00,(71) 329-17-86,us0226@ds.mofnet.gov.pl,0226
Urząd Skarbowy Wrocław - Stare Miasto,53-654,Wrocław,Inowrocławska 4,(71) 786-67-00,(71) 786-67-50,us0227@ds.mofnet.gov.pl,0227
Urząd Skarbowy Wrocław - Śródmieście,50-044,Wrocław,Marszałka Józefa Piłsudskiego 27-29,(71) 343-53-76,(71) 344-55-56,us0228@ds.mofnet.gov.pl,0228
Pierwszy Urząd Skarbowy we Wrocławiu ,50-515,Wrocław,Ks. Czesława Klimasa 34,(71) 795-05-00,(71) 795-05-02,us0229@ds.mofnet.gov.pl,0229
Urząd Skarbowy w  Ząbkowicach Śląskich,57-200,Ząbkowice Śląskie,Ludwika Waryńskiego 2a,(74) 815-13-82,(74) 815-52-94,us0230@ds.mofnet.gov.pl,0230
Urząd Skarbowy w Zgorzelcu,59-900,Zgorzelec,Bohaterów II Armii Wojska Polskiego 8b,(75) 649-48-00,(75) 649-29-00,us0231@ds.mofnet.gov.pl,0231
Urząd Skarbowy w Złotoryi,59-500,Złotoryja,Rynek 42,(76) 878-35-09,(76) 878-32-28,us0232@ds.mofnet.gov.pl,0232
Izba Skarbowa w Bydgoszczy,85-950,Bydgoszcz,Dr. Emila Warmińskiego 18,(52) 585-61-00,(52) 584-29-90,is@kp.mofnet.gov.pl,0401
Biuro Krajowej Informacji Podatkowej w Toruniu,87-100,Toruń,Św. Jakuba 20 ,(56) 669-90-00 ,(56) 669-90-02,bkip@kp.mofnet.gov.pl,
Kujawsko-Pomorski Urząd Skarbowy w Bydgoszczy,85-236,Bydgoszcz,Grunwaldzka 50,(52) 583-84-00,(52) 583-84-06,us0471@kp.mofnet.gov.pl,0471
Urząd Skarbowy w Aleksandrowie Kujawskim ,87-700,Aleksandrów Kujawski ,Kościelna 18,(54) 282-46-14; (54) 282-21-92,(54) 282-48-00,us0402@kp.mofnet.gov.pl,0402
Urząd Skarbowy w Brodnicy,87-300,Brodnica,Gen. Władysława Sikorskiego 19,(56) 495-47-11,(56) 495-47-29,us0403@kp.mofnet.gov.pl,0403
Pierwszy Urząd Skarbowy w Bydgoszczy,85-950,Bydgoszcz,Fordońska 77,(52) 56-17-000,(52) 56-17-864; (52) 58-48-274,us0404@kp.mofnet.gov.pl,0404
Drugi Urząd Skarbowy w Bydgoszczy,85-822,Bydgoszcz,Wojska Polskiego 20B,(52) 363-33-66,(52) 372-79-52 ,us0405@kp.mofnet.gov.pl,0405
Trzeci Urząd Skarbowy w Bydgoszczy,85-032,Bydgoszcz,Tadeusza Rejtana 5,(52) 339-74-00,(52) 339-75-00,us0406@kp.mofnet.gov.pl,0406
Urząd Skarbowy w Chełmnie,86-200,Chełmno,Grudziądzka 6,(56) 677-05-11,(56) 677-05-10,us0407@kp.mofnet.gov.pl,0407
Urząd Skarbowy w Golubiu-Dobrzyniu,87-400,Golub-Dobrzyń,Dr. Jerzego Gerarda Koppa 1A,(56) 491-80-20,(56) 491-80-49,us0422@kp.mofnet.gov.pl,0422
