 Site ID ; Nazwa stacji ; kod pocztowy ; Miasto ; Adres ; HGV ; email ; telefon ; telefon 2 ; położenie ;;;HGV - STACJE REKOMENDOWANE DLA TRANSTORTU CIĘŻKIEGO;;;;
1001;OSTROBRAMSKA;04-175;Warszawa;ul. Ostrobramska 75;Yes;1001@shellpl.pl;511845477;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.232304,+21.115047/@52.232304,21.11504717z;52.232304;21.115047
1002;STAWKI;01-040;Warszawa;ul. Stawki 42;No;1002@shellpl.pl;511825418;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.25063,+20.982283/@52.25063,20.98228317z;52.25063;20.982283
1003;PRUSZKÓW;05-800;Pruszków;al. Wojska Polskiego 4;No;1003@shellpl.pl;511846134;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.167533,+20.806249/@52.167533,20.80624917z;52.167533;20.806249
1005;BIAŁY;02-183;Warszawa;Al. Krakowska 15;Yes;1005@shellpl.pl;511846258;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.165226,+20.931262/@52.165226,20.93126217z;52.165226;20.931262
1006;MARKI;05-270;Marki;ul. Piłsudskiego 2;Yes;1006@shellpl.pl;511835340;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.304716,+21.090708/@52.304716,21.09070817z;52.304716;21.090708
1008;ŁABISZYŃSKA;03-204 ;Warszawa;ul. Łabiszyńska 27;No;1008@shellpl.pl;511822469;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.298293,+21.032537/@52.298293,21.03253717z;52.298293;21.032537
1009;POWSIŃSKA;02-903;Warszawa;ul. Powsińska (rog Bonifacego);No;1009@shellpl.pl;511845719;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.188487,+21.06118/@52.188487,21.0611817z;52.188487;21.06118
1010;MANGALIA;02-930;Warszawa;ul. Mangalia (rog Sikorskiego);No;1010@shellpl.pl;511845929;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.187822,+21.046726/@52.187822,21.04672617z;52.187822;21.046726
1013;LEGIONOWO;05-120;Legionowo;ul. Warszawska 68;no;1013@shellpl.pl;511816549;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.390966,+20.932222/@52.390966,20.93222217z;52.390966;20.932222
1019;ODROWĄŻA;03-310;Warszawa;ul. Odrowąża 7A ;No;1019@shellpl.pl;511822541;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.274644,+21.030048/@52.274644,21.03004817z;52.274644;21.030048
